1 	 0.04 	 0.0 	 3.84
2 	 0.12 	 0.01 	 3.53
3 	 0.16 	 0.03 	 3.39
4 	 0.2 	 0.04 	 3.24
5 	 0.24 	 0.06 	 3.1
6 	 0.28 	 0.08 	 2.96
7 	 0.32 	 0.1 	 2.82
8 	 0.36 	 0.13 	 2.69
9 	 0.4 	 0.16 	 2.56
10 	 0.44 	 0.19 	 2.43
11 	 0.48 	 0.23 	 2.31
12 	 0.52 	 0.27 	 2.19
13 	 0.56 	 0.31 	 2.07
14 	 0.6 	 0.36 	 1.96
15 	 0.64 	 0.41 	 1.85
16 	 0.68 	 0.46 	 1.74
17 	 0.72 	 0.52 	 1.64
18 	 0.76 	 0.58 	 1.54
19 	 0.8 	 0.64 	 1.44
20 	 0.84 	 0.71 	 1.35
21 	 0.88 	 0.77 	 1.25
22 	 0.92 	 0.85 	 1.17
23 	 0.96 	 0.92 	 1.08
24 	 1.0 	 1.0 	 1.0
25 	 1.04 	 1.08 	 0.92
26 	 1.08 	 1.17 	 0.85
27 	 1.12 	 1.25 	 0.77
28 	 1.16 	 1.35 	 0.71
29 	 1.2 	 1.44 	 0.64
30 	 1.24 	 1.54 	 0.58
31 	 1.28 	 1.64 	 0.52
32 	 1.32 	 1.74 	 0.46
33 	 1.36 	 1.85 	 0.41
34 	 1.4 	 1.96 	 0.36
35 	 1.44 	 2.07 	 0.31
36 	 1.48 	 2.19 	 0.27
37 	 1.52 	 2.31 	 0.23
38 	 1.56 	 2.43 	 0.19
39 	 1.6 	 2.56 	 0.16
40 	 1.64 	 2.69 	 0.13
41 	 1.68 	 2.82 	 0.1
42 	 1.72 	 2.96 	 0.08
43 	 1.76 	 3.1 	 0.06
44 	 1.8 	 3.24 	 0.04
45 	 1.84 	 3.39 	 0.03
46 	 1.88 	 3.53 	 0.01
47 	 1.96 	 3.84 	 0.0
