1 	 18 	 36 	 12 	 36  	 0.931 	 36.0
2 	 30 	 41 	 16 	 52  	 2.489 	 52.0
3 	 22 	 55 	 12 	 40  	 1.402 	 55.0
4 	 27 	 37 	 12 	 52  	 0.993 	 52.0
5 	 27 	 33 	 15 	 54  	 2.531 	 54.0
6 	 23 	 35 	 12 	 60  	 0.678 	 60.0
7 	 15 	 50 	 12 	 20  	 1.375 	 50.0
8 	 13 	 21 	 14 	 45  	 1.739 	 45.0
9 	 17 	 35 	 16 	 53  	 0.111 	 53.0
10 	 29 	 30 	 15 	 53  	 3.276 	 53.0
11 	 30 	 37 	 15 	 52  	 2.655 	 52.0
12 	 18 	 60 	 13 	 35  	 2.043 	 60.0
13 	 14 	 36 	 17 	 49  	 0.481 	 49.0
14 	 16 	 52 	 13 	 31  	 0.819 	 52.0
15 	 15 	 43 	 14 	 42  	 1.669 	 43.0
16 	 25 	 59 	 17 	 45  	 0.684 	 59.0
17 	 16 	 51 	 16 	 24  	 2.15 	 51.0
18 	 21 	 40 	 12 	 50  	 1.006 	 50.0
19 	 28 	 51 	 16 	 56  	 0.556 	 56.0
20 	 17 	 48 	 12 	 27  	 0.578 	 48.0
21 	 16 	 45 	 13 	 28  	 0.873 	 45.0
22 	 30 	 47 	 12 	 55  	 0.25 	 55.0
23 	 20 	 57 	 13 	 47  	 3.373 	 57.0
24 	 30 	 39 	 13 	 35  	 3.431 	 39.0
25 	 26 	 25 	 12 	 59  	 2.203 	 59.0
26 	 28 	 27 	 12 	 51  	 2.833 	 51.0
27 	 13 	 16 	 13 	 57  	 1.535 	 57.0
28 	 13 	 25 	 17 	 50  	 1.275 	 50.0
29 	 20 	 18 	 13 	 58  	 2.916 	 58.0
30 	 23 	 53 	 16 	 47  	 0.162 	 53.0
31 	 12 	 20 	 17 	 53  	 1.735 	 53.0
32 	 19 	 58 	 14 	 35  	 0.701 	 58.0
33 	 12 	 44 	 17 	 44  	 2.559 	 44.0
34 	 19 	 53 	 15 	 51  	 2.553 	 53.0
35 	 19 	 48 	 13 	 52  	 3.174 	 52.0
36 	 15 	 36 	 13 	 38  	 0.084 	 38.0
37 	 26 	 59 	 16 	 42  	 0.974 	 59.0
38 	 21 	 50 	 13 	 40  	 0.395 	 50.0
39 	 13 	 24 	 16 	 31  	 3.354 	 31.0
40 	 21 	 52 	 16 	 29  	 2.443 	 52.0
41 	 30 	 37 	 17 	 49  	 3.376 	 49.0
42 	 17 	 56 	 13 	 34  	 1.684 	 56.0
43 	 14 	 41 	 16 	 42  	 0.756 	 42.0
44 	 18 	 24 	 12 	 55  	 0.82 	 55.0
45 	 12 	 27 	 14 	 26  	 2.752 	 27.0
46 	 15 	 32 	 17 	 56  	 0.096 	 56.0
47 	 12 	 23 	 16 	 60  	 0.256 	 60.0
48 	 19 	 50 	 12 	 28  	 0.791 	 50.0
49 	 21 	 58 	 14 	 43  	 1.552 	 58.0
50 	 18 	 52 	 14 	 33  	 0.121 	 52.0
51 	 14 	 31 	 15 	 27  	 2.945 	 31.0
52 	 12 	 38 	 16 	 38  	 0.59 	 38.0
53 	 30 	 54 	 12 	 32  	 2.131 	 54.0
54 	 21 	 40 	 15 	 55  	 0.053 	 55.0
55 	 25 	 53 	 16 	 34  	 2.426 	 53.0
56 	 23 	 47 	 17 	 34  	 2.844 	 47.0
57 	 12 	 59 	 16 	 29  	 1.98 	 59.0
58 	 19 	 20 	 13 	 59  	 2.154 	 59.0
59 	 22 	 48 	 12 	 56  	 3.251 	 56.0
60 	 17 	 49 	 12 	 37  	 1.956 	 49.0
61 	 19 	 20 	 13 	 52  	 2.72 	 52.0
62 	 18 	 21 	 13 	 59  	 1.636 	 59.0
63 	 25 	 36 	 15 	 41  	 2.995 	 41.0
64 	 30 	 46 	 14 	 32  	 3.426 	 46.0
65 	 23 	 53 	 14 	 51  	 1.463 	 53.0
66 	 22 	 43 	 12 	 28  	 2.37 	 43.0
67 	 27 	 46 	 15 	 50  	 1.252 	 50.0
68 	 29 	 46 	 16 	 59  	 1.082 	 59.0
69 	 13 	 29 	 15 	 29  	 2.618 	 29.0
70 	 15 	 28 	 15 	 49  	 0.833 	 49.0
71 	 24 	 52 	 16 	 31  	 2.733 	 52.0
72 	 13 	 37 	 15 	 31  	 1.049 	 37.0
73 	 14 	 44 	 17 	 22  	 2.864 	 44.0
74 	 16 	 37 	 15 	 44  	 0.148 	 44.0
75 	 13 	 47 	 14 	 21  	 1.508 	 47.0
76 	 23 	 47 	 14 	 60  	 1.827 	 60.0
77 	 29 	 58 	 17 	 42  	 1.99 	 58.0
78 	 19 	 38 	 16 	 48  	 0.931 	 48.0
79 	 18 	 36 	 16 	 35  	 2.556 	 36.0
80 	 18 	 51 	 14 	 38  	 0.759 	 51.0
81 	 18 	 49 	 13 	 47  	 2.911 	 49.0
82 	 29 	 57 	 16 	 60  	 0.44 	 60.0
83 	 18 	 46 	 14 	 47  	 1.648 	 47.0
84 	 30 	 45 	 17 	 45  	 2.96 	 45.0
85 	 20 	 59 	 14 	 45  	 2.551 	 59.0
86 	 20 	 42 	 13 	 58  	 2.438 	 58.0
87 	 25 	 50 	 14 	 47  	 0.217 	 50.0
88 	 15 	 41 	 12 	 28  	 0.553 	 41.0
89 	 16 	 49 	 14 	 21  	 2.337 	 49.0
90 	 28 	 54 	 12 	 60  	 2.712 	 60.0
91 	 22 	 47 	 14 	 44  	 0.217 	 47.0
92 	 28 	 60 	 12 	 49  	 1.819 	 60.0
93 	 28 	 35 	 14 	 50  	 2.467 	 50.0
94 	 20 	 48 	 13 	 51  	 2.484 	 51.0
95 	 23 	 22 	 13 	 49  	 3.326 	 49.0
96 	 13 	 27 	 17 	 52  	 0.578 	 52.0
97 	 12 	 18 	 16 	 48  	 2.431 	 48.0
98 	 17 	 58 	 13 	 32  	 1.467 	 58.0
99 	 30 	 41 	 13 	 58  	 0.834 	 58.0
100 	 29 	 59 	 15 	 40  	 1.506 	 59.0
101 	 17 	 34 	 13 	 51  	 0.915 	 51.0
102 	 25 	 47 	 12 	 43  	 0.194 	 47.0
103 	 19 	 49 	 15 	 35  	 0.913 	 49.0
104 	 24 	 52 	 12 	 36  	 0.431 	 52.0
105 	 27 	 40 	 14 	 58  	 0.793 	 58.0
106 	 12 	 51 	 13 	 30  	 2.877 	 51.0
107 	 14 	 30 	 14 	 40  	 0.809 	 40.0
108 	 13 	 41 	 17 	 28  	 1.736 	 41.0
109 	 12 	 58 	 16 	 28  	 1.527 	 58.0
110 	 14 	 17 	 15 	 51  	 2.802 	 51.0
111 	 15 	 46 	 16 	 51  	 2.844 	 51.0
112 	 13 	 23 	 17 	 59  	 0.791 	 59.0
113 	 22 	 39 	 12 	 55  	 1.194 	 55.0
114 	 30 	 52 	 13 	 27  	 3.331 	 52.0
115 	 21 	 39 	 17 	 46  	 1.906 	 46.0
116 	 29 	 49 	 15 	 59  	 0.285 	 59.0
117 	 19 	 41 	 14 	 25  	 3.078 	 41.0
118 	 13 	 32 	 13 	 44  	 1.4 	 44.0
119 	 13 	 39 	 15 	 50  	 3.069 	 50.0
120 	 25 	 56 	 13 	 45  	 0.823 	 56.0
121 	 25 	 59 	 17 	 27  	 3.183 	 59.0
122 	 19 	 50 	 15 	 22  	 3.071 	 50.0
123 	 14 	 44 	 15 	 43  	 2.079 	 44.0
124 	 21 	 34 	 13 	 38  	 2.198 	 38.0
125 	 29 	 48 	 12 	 42  	 1.138 	 48.0
126 	 16 	 44 	 12 	 33  	 0.632 	 44.0
127 	 28 	 53 	 13 	 38  	 1.398 	 53.0
128 	 20 	 26 	 13 	 56  	 1.331 	 56.0
129 	 24 	 50 	 12 	 30  	 1.723 	 50.0
130 	 21 	 53 	 13 	 49  	 2.582 	 53.0
131 	 17 	 48 	 13 	 44  	 2.626 	 48.0
132 	 23 	 51 	 16 	 44  	 0.833 	 51.0
133 	 23 	 53 	 16 	 27  	 3.042 	 53.0
134 	 15 	 39 	 15 	 22  	 3.118 	 39.0
135 	 14 	 25 	 14 	 45  	 1.191 	 45.0
136 	 15 	 54 	 13 	 37  	 3.315 	 54.0
137 	 18 	 52 	 14 	 32  	 0.328 	 52.0
138 	 13 	 60 	 16 	 35  	 3.165 	 60.0
139 	 23 	 37 	 13 	 40  	 1.981 	 40.0
140 	 17 	 26 	 12 	 34  	 2.598 	 34.0
141 	 21 	 32 	 16 	 58  	 1.407 	 58.0
142 	 15 	 48 	 15 	 46  	 2.882 	 48.0
143 	 19 	 24 	 17 	 54  	 2.919 	 54.0
144 	 15 	 30 	 16 	 43  	 1.556 	 43.0
145 	 23 	 36 	 14 	 53  	 1.006 	 53.0
146 	 20 	 54 	 16 	 58  	 2.856 	 58.0
147 	 19 	 46 	 15 	 54  	 1.785 	 54.0
148 	 25 	 33 	 15 	 53  	 2.267 	 53.0
149 	 23 	 56 	 12 	 31  	 0.641 	 56.0
150 	 27 	 53 	 14 	 26  	 3.285 	 53.0
151 	 28 	 48 	 15 	 57  	 0.417 	 57.0
152 	 25 	 32 	 13 	 47  	 2.303 	 47.0
153 	 20 	 46 	 16 	 38  	 1.468 	 46.0
154 	 18 	 29 	 12 	 53  	 0.185 	 53.0
155 	 13 	 45 	 13 	 37  	 2.921 	 45.0
156 	 15 	 43 	 13 	 28  	 0.757 	 43.0
157 	 22 	 55 	 12 	 40  	 1.402 	 55.0
158 	 19 	 37 	 12 	 22  	 3.361 	 37.0
159 	 27 	 30 	 12 	 56  	 1.746 	 56.0
160 	 18 	 26 	 12 	 58  	 0.05 	 58.0
161 	 20 	 31 	 15 	 50  	 1.764 	 50.0
162 	 22 	 45 	 14 	 56  	 1.251 	 56.0
163 	 18 	 52 	 14 	 41  	 1.529 	 52.0
164 	 14 	 40 	 15 	 48  	 2.212 	 48.0
165 	 28 	 48 	 12 	 38  	 1.502 	 48.0
166 	 23 	 42 	 13 	 49  	 0.048 	 49.0
167 	 17 	 28 	 17 	 53  	 1.796 	 53.0
168 	 13 	 56 	 16 	 21  	 1.277 	 56.0
169 	 23 	 42 	 13 	 49  	 0.048 	 49.0
170 	 22 	 54 	 15 	 55  	 2.069 	 55.0
171 	 22 	 46 	 15 	 25  	 3.446 	 46.0
172 	 16 	 60 	 15 	 26  	 0.431 	 60.0
173 	 14 	 17 	 16 	 52  	 2.985 	 52.0
174 	 30 	 51 	 12 	 29  	 2.823 	 51.0
175 	 13 	 55 	 16 	 25  	 0.32 	 55.0
176 	 17 	 30 	 16 	 55  	 0.865 	 55.0
177 	 23 	 36 	 14 	 39  	 2.571 	 39.0
178 	 13 	 24 	 13 	 35  	 1.961 	 35.0
179 	 13 	 46 	 17 	 31  	 0.479 	 46.0
180 	 26 	 32 	 12 	 56  	 1.187 	 56.0
181 	 21 	 19 	 13 	 52  	 3.312 	 52.0
182 	 24 	 37 	 13 	 42  	 1.95 	 42.0
183 	 22 	 43 	 17 	 32  	 3.252 	 43.0
184 	 18 	 53 	 12 	 29  	 0.185 	 53.0
185 	 30 	 28 	 14 	 52  	 3.464 	 52.0
186 	 20 	 45 	 13 	 27  	 2.258 	 45.0
187 	 14 	 59 	 17 	 36  	 1.993 	 59.0
188 	 20 	 37 	 17 	 46  	 1.925 	 46.0
189 	 16 	 30 	 17 	 42  	 2.299 	 42.0
190 	 22 	 27 	 14 	 52  	 2.373 	 52.0
191 	 14 	 60 	 13 	 27  	 1.97 	 60.0
192 	 25 	 53 	 13 	 34  	 1.386 	 53.0
193 	 24 	 41 	 15 	 31  	 3.4 	 41.0
194 	 17 	 48 	 14 	 42  	 1.54 	 48.0
195 	 18 	 59 	 16 	 43  	 1.878 	 59.0
196 	 24 	 35 	 17 	 47  	 2.899 	 47.0
197 	 22 	 33 	 15 	 57  	 1.231 	 57.0
198 	 25 	 35 	 14 	 45  	 2.431 	 45.0
199 	 24 	 32 	 14 	 54  	 1.788 	 54.0
200 	 13 	 36 	 15 	 43  	 1.007 	 43.0
201 	 22 	 42 	 16 	 59  	 0.109 	 59.0
202 	 16 	 54 	 15 	 20  	 2.431 	 54.0
203 	 26 	 48 	 14 	 36  	 2.184 	 48.0
