0 	 -4.0 	 16.0 	 36.0
1 	 -3.96 	 15.68 	 35.52
2 	 -3.92 	 15.37 	 35.05
3 	 -3.88 	 15.05 	 34.57
4 	 -3.84 	 14.75 	 34.11
5 	 -3.8 	 14.44 	 33.64
6 	 -3.76 	 14.14 	 33.18
7 	 -3.72 	 13.84 	 32.72
8 	 -3.68 	 13.54 	 32.26
9 	 -3.64 	 13.25 	 31.81
10 	 -3.6 	 12.96 	 31.36
11 	 -3.56 	 12.67 	 30.91
12 	 -3.52 	 12.39 	 30.47
13 	 -3.48 	 12.11 	 30.03
14 	 -3.44 	 11.83 	 29.59
15 	 -3.4 	 11.56 	 29.16
16 	 -3.36 	 11.29 	 28.73
17 	 -3.32 	 11.02 	 28.3
18 	 -3.28 	 10.76 	 27.88
19 	 -3.24 	 10.5 	 27.46
20 	 -3.2 	 10.24 	 27.04
21 	 -3.16 	 9.99 	 26.63
22 	 -3.12 	 9.73 	 26.21
23 	 -3.08 	 9.49 	 25.81
24 	 -3.04 	 9.24 	 25.4
25 	 -3.0 	 9.0 	 25.0
26 	 -2.96 	 8.76 	 24.6
27 	 -2.92 	 8.53 	 24.21
28 	 -2.88 	 8.29 	 23.81
29 	 -2.84 	 8.07 	 23.43
30 	 -2.8 	 7.84 	 23.04
31 	 -2.76 	 7.62 	 22.66
32 	 -2.72 	 7.4 	 22.28
33 	 -2.68 	 7.18 	 21.9
34 	 -2.64 	 6.97 	 21.53
35 	 -2.6 	 6.76 	 21.16
36 	 -2.56 	 6.55 	 20.79
37 	 -2.52 	 6.35 	 20.43
38 	 -2.48 	 6.15 	 20.07
39 	 -2.44 	 5.95 	 19.71
40 	 -2.4 	 5.76 	 19.36
41 	 -2.36 	 5.57 	 19.01
42 	 -2.32 	 5.38 	 18.66
43 	 -2.28 	 5.2 	 18.32
44 	 -2.24 	 5.02 	 17.98
45 	 -2.2 	 4.84 	 17.64
46 	 -2.16 	 4.67 	 17.31
47 	 -2.12 	 4.49 	 16.97
48 	 -2.08 	 4.33 	 16.65
49 	 -2.04 	 4.16 	 16.32
50 	 -2.0 	 4.0 	 16.0
51 	 -1.96 	 3.84 	 15.68
52 	 -1.92 	 3.69 	 15.37
53 	 -1.88 	 3.53 	 15.05
54 	 -1.84 	 3.39 	 14.75
55 	 -1.8 	 3.24 	 14.44
56 	 -1.76 	 3.1 	 14.14
57 	 -1.72 	 2.96 	 13.84
58 	 -1.68 	 2.82 	 13.54
59 	 -1.64 	 2.69 	 13.25
60 	 -1.6 	 2.56 	 12.96
61 	 -1.56 	 2.43 	 12.67
62 	 -1.52 	 2.31 	 12.39
63 	 -1.48 	 2.19 	 12.11
64 	 -1.44 	 2.07 	 11.83
65 	 -1.4 	 1.96 	 11.56
66 	 -1.36 	 1.85 	 11.29
67 	 -1.32 	 1.74 	 11.02
68 	 -1.28 	 1.64 	 10.76
69 	 -1.24 	 1.54 	 10.5
70 	 -1.2 	 1.44 	 10.24
71 	 -1.16 	 1.35 	 9.99
72 	 -1.12 	 1.25 	 9.73
73 	 -1.08 	 1.17 	 9.49
74 	 -1.04 	 1.08 	 9.24
75 	 -1.0 	 1.0 	 9.0
76 	 -0.96 	 0.92 	 8.76
77 	 -0.92 	 0.85 	 8.53
78 	 -0.88 	 0.77 	 8.29
79 	 -0.84 	 0.71 	 8.07
80 	 -0.8 	 0.64 	 7.84
81 	 -0.76 	 0.58 	 7.62
82 	 -0.72 	 0.52 	 7.4
83 	 -0.68 	 0.46 	 7.18
84 	 -0.64 	 0.41 	 6.97
85 	 -0.6 	 0.36 	 6.76
86 	 -0.56 	 0.31 	 6.55
87 	 -0.52 	 0.27 	 6.35
88 	 -0.48 	 0.23 	 6.15
